Deck	Title	Code	FrontImage	BackImage	Type	ScenarioDeck	CardSize	Quantity
Republic Starter Deck	Republic Shuttle	cw_rs1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rs1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Republic Starter	standard	7
Republic Starter Deck	Clone Trooper	cw_rs2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rs2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Republic Starter	standard	2
Republic Starter Deck	Jedi Knight	cw_rs3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rs3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Republic Starter	standard	
Separatist Starter Deck	Separatist Shuttle	cw_ss1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_ss1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Separatist Starter	standard	7
Separatist Starter Deck	B1 Battle Droid	cw_ss2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_ss2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Separatist Starter	standard	2
Separatist Starter Deck	Dark Side Agent	cw_ss3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_ss3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Separatist Starter	standard	
Republic Bases	Rishi	cw_rb1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rb1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Republic Bases	standard	
Republic Bases	Anaxes	cw_rb2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rb2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Republic Bases	standard	
Republic Bases	Christophis	cw_rb3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rb3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Republic Bases	standard	
Republic Bases	Coruscant	cw_rb4	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_rb4.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Republic Bases	standard	
