Deck	Title	Code	FrontImage	BackImage	Type	ScenarioDeck	CardSize	Quantity
Rebel Starter Deck	Alliance Shuttle	rs1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Rebel Starter	standard	7
Rebel Starter Deck	Rebel Trooper	rs2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Rebel Starter	standard	2
Rebel Starter Deck	Temple Guardian	rs3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Rebel Starter	standard	
Empire Starter Deck	Imperial Shuttle	es1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Empire Starter	standard	7
Empire Starter Deck	Stormtrooper	es2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Empire Starter	standard	2
Empire Starter Deck	Inquisitor	es3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/card_back.png	starter	Empire Starter	standard	
Rebel Bases	Dantooine	rb1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb1.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Mon Cala	rb2	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb2.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Dagobah	rb3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb3.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Bespin	rb4	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb4.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Alderaan	rb5	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb5.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Hoth	rb6	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb6.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
Rebel Bases	Jedha	rb7	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb7.png	https://dragncards-swdb.s3.us-east-1.amazonaws.com/card_backs/rebel_base_back.png	base	Rebel Bases	standard	
