databaseId	type	name	rewardText	mainText	hitPoints	cost	attack	resources	force	cardBack	traits	flavorText	targetValue	unique	imageUrl	quantity	faction
eb1	Base	Lothal		Start the game with this base in play.	8					empireBase	Imperial Outpost.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb1.png	1	Empire
eb10	Base	Rodia		When you reveal Rodia, deal 1 damage to the enemy base for each enemy card in the galaxy row. Then discard each of those cards from the galaxy row.	16					empireBase	Imperial Occupation			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb10.png	1	Empire
eb2	Base	Corellia		When you reveal Corellia, purchase an Empire or neutral card from the galaxy row for free and add it to your hand.	10					empireBase	Imperial Shipyards.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb2.png	1	Empire
eb3	Base	Kessel		When you reveal Kessel, exile up to 3 cards from your hand or discard pile.	12					empireBase	The Spice Mines.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb3.png	1	Empire
eb4	Base	Kafrene		When you play a neutral card for the first time each turn, draw 1 card.	14					empireBase	Trading Post			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb4.png	1	Empire
eb5	Base	Mustafar		When you reveal Mustafar, gain 4 [resource].	14					empireBase	Vader's Castle.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb5.png	1	Empire
eb6	Base	Ord Mantell		While Ord Mantell is your base, you can bounty hunt 1 neutral unit in the galaxy row each turn, using its cost as its target value. If you defeat that card, gain [resource] equal to its cost.	14					empireBase	Bounty Hunting.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb6.png	1	Empire
eb7	Base	Coruscant		When your turn begins, look at the top 2 cards of the galaxy deck. Place one on top of the deck and discard the other.	16					empireBase	Galactic Rule.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb7.png	1	Empire
eb8	Base	Death Star		Spend 4 [resource] to destroy a capital ship your opponent has in play or a capital ship in the galaxy row.	16					empireBase				1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb8.png	1	Empire
eb9	Base	Endor		While Endor is your base, each of your Trooper and Vehicle units gains 1 [attack].	16					empireBase	Finest Legion.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/eb9.png	1	Empire
ecs1	CapitalShip	Gozanti Cruiser		Discard 1 card from your hand to draw 1 card.	3	3		2		card		The Gozanti-class armored transport is used throughout the Empire to ferry goods and personnel between worlds.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ecs1.png	3	Empire
ecs2	CapitalShip	Imperial Carrier		While Imperial Carrier is in play, each of your Fighter units gains 1 [attack].	5	5		3		card		The Imperial carrier can hold up to forty-eight starfighters in its four hangars, making it an effective mobile headquarters.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ecs2.png	2	Empire
ecs3	CapitalShip	Star Destroyer			7	7	4			card		The distinct profile of the Imperial-class Star Destroyer is a symbol of the Empire's strength. Stationing just one in orbit of a planet could quell local unrest.	1	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ecs3.png	2	Empire
es1	Unit	Imperial Shuttle				0		1		card	Transport.	A versatile craft, the Lambda-class shuttle is used to transport resources, troopers, and even high-ranking dignitaries.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es1.png	7	Empire
es2	Unit	Stormtrooper				0	2			card	Trooper.	Elite soldiers of the Empire, the white-and-black armor of Imperial stormtroopers inspires fear across the galaxy.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es2.png	2	Empire
es3	Unit	Inquisitor		When you play Inquisitor, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.		0				card		Force wielders in service to the Empire, the Inquisitors are elite Jedi hunters.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/es3.png	1	Empire
g1	Unit	Y-Wing	Reward: Gain [resource].	Exile this unit to deal 2 damage to your opponent's base or a capital ship they have in play.	1	1	2			card	Fighter.		1	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g1.png	2	Rebel
